['gender','age','birth_place','death_place','cause_of_death','musical_skills','genres']
['male','85','USA','USA','illness','drums','jazz']
['male','66','USA','USA','overdose','vocals','rock']
['male','66','USA','USA','overdose','vocals','pop']
['male','66','USA','USA','overdose','guitar','rock']
['male','66','USA','USA','overdose','guitar','pop']
['male','77','Brasil','Brasil','heart attack','drums','jazz']
['male','67','USA','USA','cancer','vocals','rock']
['male','67','USA','USA','cancer','bass','rock']
['male','67','USA','USA','cancer','guitar','rock']
['male','72','USA','USA','organ failure','guitar','rock']
['male','72','USA','USA','organ failure','guitar','jazz']
['male','47','Australia','Australia','illness','drums','folk']
['male','47','Australia','Australia','illness','flute','folk']
['male','47','Australia','Australia','illness','vocals','folk']
['male','47','Australia','Australia','illness','guitar','folk']
['male','47','Australia','Australia','illness','piano','folk']
['male','41','USA','USA','suicide','vocals','rock']
['male','67','Österreich','Österreich','cancer','vocals','pop']
['male','67','Österreich','Österreich','cancer','guitar','pop']
['male','70','Africa','Africa','cancer','vocals','jazz']
['male','70','Africa','Africa','cancer','guitar','jazz']
['male','69','USA','USA','illness','vocals','rock']
['male','69','USA','USA','illness','vocals','soul']
['male','69','USA','USA','illness','vocals','folk']
['male','69','USA','USA','illness','piano','rock']
['male','69','USA','USA','illness','piano','soul']
['male','69','USA','USA','illness','piano','folk']
['male','52','USA','USA','suicide','vocals','rock']
['male','52','USA','USA','suicide','vocals','pop']
['male','70','UK','USA','accident','guitar','electronic']
['male','70','UK','USA','accident','guitar','rock']
['male','70','UK','USA','accident','guitar','jazz']
['male','71','USA','USA','natural causes','guitar','rock']
['male','81','USA','USA','illness','saxophone','soul']
['female','64','USA','USA','heart attack','vocals','rock']
['male','87','USA','USA','natural causes','bass','jazz']
['male','86','USA','Danmark','illness','piano','soul']
['male','86','USA','Danmark','illness','piano','jazz']
['male','73','USA','USA','organ failure','piano','soul']
['male','73','USA','USA','organ failure','piano','jazz']
['male','73','USA','USA','organ failure','vocals','soul']
['male','73','USA','USA','organ failure','vocals','jazz']
['male','73','USA','USA','organ failure','bass','soul']
['male','73','USA','USA','organ failure','bass','jazz']
['male','73','USA','USA','organ failure','guitar','soul']
['male','73','USA','USA','organ failure','guitar','jazz']
['male','76','USA','USA','organ failure','vocals','rock']
['male','76','USA','USA','organ failure','vocals','soul']
['male','76','USA','USA','organ failure','vocals','jazz']
['male','67','UK','UK','cancer','piano','rock']
['male','67','UK','UK','cancer','vocals','rock']
['male','67','UK','UK','cancer','bass','rock']
['male','67','UK','UK','cancer','guitar','rock']
['male','69','USA','USA','murder','drums','rock']
['male','74','Deutschland','Deutschland','illness','vocals','folk']
['male','74','Deutschland','Deutschland','illness','guitar','folk']
['male','78','Deutschland','Deutschland','illness','drums','electronic']
['male','78','Deutschland','Deutschland','illness','drums','rock']
['male','78','Deutschland','Deutschland','illness','drums','soul']
['male','78','Deutschland','Deutschland','illness','drums','jazz']
['male','75','गणराज्य','UK','natural causes','vocals','pop']
['male','75','गणराज्य','UK','natural causes','guitar','pop']
['male','68','UK','España','illness','vocals','rock']
['male','68','UK','España','illness','piano','rock']
['male','68','UK','España','illness','guitar','rock']
['male','69','UK','UK','cancer','vocals','rock']
['male','69','UK','UK','cancer','bass','rock']
['male','69','UK','UK','cancer','guitar','rock']
['male','74','USA','USA','illness','piano','pop']
['male','74','USA','USA','illness','piano','rock']
['male','74','USA','USA','illness','piano','soul']
['male','74','USA','USA','illness','piano','folk']
['male','82','Canada','USA','illness','vocals','pop']
['male','82','Canada','USA','illness','vocals','rock']
['male','82','Canada','USA','illness','vocals','soul']
['male','82','Canada','USA','illness','vocals','folk']
['male','73','USA','USA','illness','vocals','rock']
['male','56','UK','UK','natural causes','leadership','classical']
['male','56','UK','UK','natural causes','strings','classical']
['male','77','USA','USA','illness','guitar','folk']
['male','39','Belgique/België','Belgique','natural causes','saxophone','jazz']
['male','75','USA','USA','illness','drums','soul']
['male','75','USA','USA','illness','drums','jazz']
['male','68','USA','Japan','natural causes','piano','soul']
['male','68','USA','Japan','natural causes','piano','jazz']
['male','72','UK','UK','stroke','vocals','rock']
['male','72','UK','UK','stroke','drums','rock']
['male','72','UK','UK','stroke','guitar','rock']
['male','75','UK','UK','natural causes','strings','rock']
['male','75','UK','UK','natural causes','strings','folk']
['male','75','UK','UK','natural causes','guitar','rock']
['male','75','UK','UK','natural causes','guitar','folk']
['male','71','UK','UK','illness','piano','rock']
['male','71','UK','UK','illness','guitar','rock']
['male','68','Deutschland','Deutschland','organ failure','drums','rock']
['male','79','USA','USA','illness','vocals','folk']
['male','79','USA','USA','illness','guitar','folk']
['male','71','UK','USA','suicide','piano','electronic']
['male','71','UK','USA','suicide','piano','rock']
['male','71','Brasil','Brasil','cancer','drums','jazz']
['male','90','UK','UK','natural causes','piano','rock']
['male','90','UK','UK','natural causes','piano','pop']
['female','57','USA','USA','organ failure','vocals','soul']
['male','74','USA','USA','accident','vocals','electronic']
['male','74','USA','USA','accident','vocals','soul']
['male','74','USA','USA','accident','drums','electronic']
['male','74','USA','USA','accident','drums','soul']
['male','74','USA','USA','organ failure','vocals','rock']
['male','74','USA','USA','organ failure','guitar','rock']
['male','67','USA','USA','illness','vocals','rock']
['male','67','USA','USA','illness','vocals','pop']
['male','67','USA','USA','illness','guitar','rock']
['male','67','USA','USA','illness','guitar','pop']
['male','76','USA','USA','cancer','vocals','soul']
['male','69','UK','USA','cancer','vocals','rock']
['male','69','UK','USA','cancer','vocals','pop']
['male','69','UK','USA','cancer','piano','rock']
['male','69','UK','USA','cancer','piano','pop']
['male','69','UK','USA','cancer','guitar','rock']
['male','69','UK','USA','cancer','guitar','pop']
['male','69','UK','USA','cancer','saxophone','rock']
['male','69','UK','USA','cancer','saxophone','pop']
['male','90','France','Deutschland','natural causes','leadership','classical']
['male','48','USA','USA','overdose','vocals','rock']
['male','82','USA','USA','illness','saxophone','soul']
['male','82','USA','USA','illness','saxophone','jazz']
['male','75','USA','USA','illness','bass','jazz']
['male','75','USA','USA','illness','saxophone','jazz']
['male','66','UK','UK','heart attack','piano','rock']
['male','78','USA','USA','heart attack','vocals','folk']
['male','78','USA','USA','heart attack','guitar','folk']
['male','67','UK','USA','illness','vocals','rock']
['male','67','UK','USA','illness','drums','rock']
['male','67','UK','USA','illness','bass','rock']
['male','67','UK','USA','illness','saxophone','rock']
['male','88','Belgique','Deutschland','natural causes','bass','jazz']
['male','78','USA','USA','organ failure','trumpet','soul']
['male','78','USA','USA','organ failure','trumpet','jazz']
['male','89','USA','USA','illness','vocals','rock']
['male','89','USA','USA','illness','vocals','soul']
['male','89','USA','USA','illness','guitar','rock']
['male','89','USA','USA','illness','guitar','soul']
['male','74','USA','USA','cancer','vocals','soul']
['male','71','USA','USA','heart attack','trumpet','jazz']
['male','68','UK','UK','accident','vocals','rock']
['male','68','UK','UK','accident','vocals','pop']
['male','73','USA','USA','illness','vocals','rock']
['male','73','USA','USA','illness','bass','rock']
['male','73','USA','USA','illness','guitar','rock']
['male','66','USA','USA','natural causes','trumpet','soul']
['male','66','USA','USA','natural causes','trumpet','jazz']
['male','66','USA','USA','natural causes','flute','soul']
['male','66','USA','USA','natural causes','flute','jazz']
['male','76','USA','USA','stroke','vocals','soul']
['male','70','Reich','Österreich','illness','piano','electronic']
['male','70','Reich','Österreich','illness','piano','rock']
['male','70','Reich','Österreich','illness','guitar','electronic']
['male','70','Reich','Österreich','illness','guitar','rock']
['male','59','USA','USA','illness','guitar','jazz']
['male','70','UK','USA','cancer','vocals','rock']
['male','70','UK','USA','cancer','vocals','pop']
['male','70','USA','USA','illness','saxophone','rock']
['male','71','UK','UK','cancer','vocals','rock']
['male','71','UK','UK','cancer','vocals','jazz']
['male','71','UK','UK','cancer','bass','rock']
['male','71','UK','UK','cancer','bass','jazz']
['male','60','UK','UK','heart attack','saxophone','rock']
['male','60','UK','UK','heart attack','saxophone','jazz']
['male','72','USA','USA','heart attack','vocals','pop']
['male','72','USA','USA','heart attack','vocals','jazz']
['male','84','Canada','UK','natural causes','trumpet','rock']
['male','84','Canada','UK','natural causes','trumpet','soul']
['male','84','Canada','UK','natural causes','trumpet','jazz']
['male','75','USA','USA','cancer','piano','jazz']
['male','42','USA','USA','illness','trumpet','jazz']
['male','63','USA','USA','organ failure','vocals','rock']
['male','67','Kingdom','USA','organ failure','bass','rock']
['male','84','France','USA','illness','leadership','classical']
['male','85','USA','USA','natural causes','drums','soul']
['male','85','USA','USA','natural causes','drums','jazz']
['male','70','USA','USA','illness','vocals','soul']
['male','70','USA','USA','illness','guitar','soul']
['male','62','USA','USA','cancer','bass','rock']
['male','30','USA','USA','organ failure','trumpet','jazz']
['male','66','España','México','heart attack','guitar','folk']
['male','66','España','México','heart attack','guitar','classical']
['male','66','España','México','heart attack','guitar','jazz']
['male','67','Deutschland','Deutschland','illness','vocals','rock']
['male','67','Deutschland','Deutschland','illness','drums','rock']
['male','80','Italia','Italia','natural causes','leadership','classical']
['male','59','USA','USA','organ failure','drums','jazz']
['male','59','USA','USA','organ failure','trumpet','jazz']
['male','71','USA','USA','organ failure','vocals','rock']
['male','71','USA','USA','organ failure','vocals','pop']
['male','71','USA','USA','organ failure','guitar','rock']
['male','71','USA','USA','organ failure','guitar','pop']
['male','87','UK','España','illness','trumpet','jazz']
['male','87','UK','España','illness','saxophone','jazz']
['male','87','UK','España','illness','flute','jazz']
['female','62','UK','UK','illness','flute','jazz']
['male','58','Deutschland','Deutschland','natural causes','leadership','jazz']
['male','58','Deutschland','Deutschland','natural causes','trumpet','jazz']
['male','79','USA','USA','natural causes','piano','soul']
['male','79','USA','USA','natural causes','piano','jazz']
['male','67','USA','USA','illness','piano','rock']
['male','67','USA','USA','illness','piano','soul']
['male','67','USA','USA','illness','piano','jazz']
['male','74','USA','USA','heart attack','vocals','rock']
['male','74','USA','USA','heart attack','vocals','soul']
['male','74','USA','USA','heart attack','guitar','rock']
['male','74','USA','USA','heart attack','guitar','soul']
['female','61','USA','USA','cancer','trumpet','jazz']
['male','84','USA','USA','heart attack','drums','jazz']
['male','74','USA','Deutschland','cancer','piano','folk']
['male','74','USA','Deutschland','cancer','piano','jazz']
['male','74','USA','Deutschland','cancer','piano','classical']
['male','74','USA','Deutschland','cancer','piano','rock']
['male','74','USA','Deutschland','cancer','piano','pop']
['male','81','USA','USA','organ failure','vocals','folk']
['male','72','USA','USA','heart attack','vocals','folk']
['male','72','USA','USA','heart attack','vocals','rock']
['male','72','USA','USA','heart attack','vocals','soul']
['male','72','USA','USA','heart attack','vocals','pop']
['male','72','USA','USA','heart attack','guitar','folk']
['male','72','USA','USA','heart attack','guitar','rock']
['male','72','USA','USA','heart attack','guitar','soul']
['male','72','USA','USA','heart attack','guitar','pop']
['male','70','USA','USA','natural causes','saxophone','jazz']
['male','67','Besatzungszone','Deutschland','cancer','drums','jazz']
['male','67','Besatzungszone','Deutschland','cancer','piano','jazz']
['male','67','Besatzungszone','Deutschland','cancer','guitar','jazz']
['male','65','UK','UK','organ failure','guitar','rock']
['male','68','UK','España','illness','vocals','folk']
['male','68','UK','España','illness','vocals','rock']
['male','68','UK','España','illness','bass','folk']
['male','68','UK','España','illness','bass','rock']
['male','68','UK','España','illness','guitar','folk']
['male','68','UK','España','illness','guitar','rock']
['male','70','USA','USA','illness','vocals','soul']
['male','68','UK','France','natural causes','vocals','electronic']
['male','68','UK','France','natural causes','vocals','rock']
['male','68','UK','France','natural causes','vocals','pop']
['male','68','UK','France','natural causes','guitar','electronic']
['male','68','UK','France','natural causes','guitar','rock']
['male','68','UK','France','natural causes','guitar','pop']
['male','72','UK','Deutschland','illness','vocals','rock']
['male','72','UK','Deutschland','illness','guitar','rock']
['male','47','USA','USA','illness','trumpet','jazz']
['male','80','USA','USA','natural causes','trumpet','electronic']
['male','80','USA','USA','natural causes','trumpet','soul']
['male','80','USA','USA','natural causes','trumpet','jazz']
['male','73','USA','USA','cancer','guitar','folk']
['male','42','India','USA','illness','guitar','classical']
['male','90','USA','USA','natural causes','saxophone','jazz']
['male','90','USA','USA','natural causes','flute','jazz']
['male','71','USA','USA','cancer','drums','folk']
['male','71','USA','USA','cancer','drums','rock']
['male','65','USA','USA','cancer','drums','rock']
['male','79','USA','Deutschland','stroke','vocals','soul']
['male','79','USA','Deutschland','stroke','guitar','soul']
['male','71','USA','USA','organ failure','saxophone','soul']
['male','40','USA','USA','natural causes','strings','classical']
['male','80','USA','USA','organ failure','guitar','soul']
['male','66','Deutschland','Deutschland','heart attack','piano','jazz']
['male','65','UK','UK','heart attack','vocals','rock']
['male','65','UK','UK','heart attack','strings','rock']
['male','65','UK','UK','heart attack','guitar','rock']
['male','81','Deutschland','Deutschland','natural causes','vocals','folk']
['male','81','Deutschland','Deutschland','natural causes','guitar','folk']
['male','74','Reich','Deutschland','cancer','strings','electronic']
['male','74','Reich','Deutschland','cancer','strings','rock']
['male','74','Reich','Deutschland','cancer','guitar','electronic']
['male','74','Reich','Deutschland','cancer','guitar','rock']
['female','27','UK','UK','overdose','vocals','soul']
['female','27','UK','UK','overdose','vocals','jazz']
['male','67','USA','USA','stroke','vocals','rock']
['male','69','USA','USA','stroke','saxophone','rock']
['male','59','USA','USA','organ failure','vocals','rock']
['male','59','USA','USA','organ failure','guitar','rock']
['male','62','USA','USA','heart attack','vocals','folk']
['male','62','USA','USA','heart attack','vocals','soul']
['male','62','USA','USA','heart attack','vocals','jazz']
['male','62','USA','USA','heart attack','piano','folk']
