['gender','age','birth_place','death_place','cause_of_death','musical_skills']
['male','67','UK','USA','illness','saxophone']
['male','88','Belgique','Deutschland','natural causes','bass']
['male','72','USA','USA','stroke','vocals']
['male','78','USA','USA','organ failure','trumpet']
['male','89','USA','USA','illness','vocals']
['male','89','USA','USA','illness','guitar']
['male','34','België','Schweiz','natural causes','drums']
['male','71','Jamaica','Bahamas','cancer','vocals']
['male','74','USA','USA','cancer','vocals']
['male','62','UK','USA','illness','piano']
['male','62','UK','USA','illness','vocals']
['male','62','UK','USA','illness','bass']
['male','62','UK','USA','illness','guitar']
['male','59','USA','USA','illness','bass']
['male','71','USA','USA','cancer','piano']
['male','71','USA','USA','heart attack','trumpet']
['male','68','UK','UK','accident','vocals']
['male','73','USA','USA','illness','vocals']
['male','73','USA','USA','illness','bass']
['male','73','USA','USA','illness','guitar']
['male','66','USA','USA','natural causes','trumpet']
['male','66','USA','USA','natural causes','flute']
['male','74','USA','USA','cancer','bass']
['male','76','USA','USA','stroke','vocals']
['male','68','\u200fمصر','Ελλάδα','illness','vocals']
['male','68','\u200fمصر','Ελλάδα','illness','bass']
['male','70','Reich','Österreich','illness','piano']
['male','70','Reich','Österreich','illness','guitar']
['male','34','USA','USA','illness','drums']
['male','59','USA','USA','illness','guitar']
['male','75','USA','USA','accident','bass']
['male','75','USA','USA','accident','guitar']
['male','70','UK','USA','cancer','vocals']
['male','69','UK','USA','stroke','piano']
['male','70','USA','USA','illness','saxophone']
['male','65','USA','USA','heart attack','bass']
['male','71','UK','UK','cancer','vocals']
['male','71','UK','UK','cancer','bass']
['male','60','UK','UK','heart attack','saxophone']
['male','72','USA','USA','heart attack','vocals']
['male','84','Canada','UK','natural causes','trumpet']
['male','75','USA','USA','cancer','piano']
['male','42','USA','USA','illness','trumpet']
['male','63','USA','USA','organ failure','vocals']
['male','67','Kingdom','USA','organ failure','bass']
['male','78','Jamaica','USA','heart attack','drums']
['male','84','France','USA','illness','leadership']
['male','62','Magyarország','USA','cancer','vocals']
['male','62','Magyarország','USA','cancer','drums']
['male','85','USA','USA','natural causes','drums']
['male','36','USA','USA','natural causes','strings']
['male','70','USA','USA','illness','vocals']
['male','70','USA','USA','illness','guitar']
['male','68','USA','USA','illness','guitar']
['male','76','USA','USA','stroke','guitar']
['male','62','USA','USA','natural causes','trumpet']
['male','62','USA','USA','cancer','bass']
['male','30','USA','USA','organ failure','trumpet']
['male','68','USA','USA','cancer','bass']
['male','89','Cuba','USA','illness','vocals']
['male','89','Cuba','USA','illness','drums']
['male','66','USA','USA','cancer','drums']
['male','35','USA','USA','cancer','bass']
['male','66','España','México','heart attack','guitar']
['male','67','Deutschland','Deutschland','illness','vocals']
['male','67','Deutschland','Deutschland','illness','drums']
['male','66','Besatzungszone','Deutschland','cancer','guitar']
['male','80','Italia','Italia','natural causes','leadership']
['male','74','USA','USA','illness','vocals']
['male','74','USA','USA','illness','guitar']
['male','59','USA','USA','organ failure','drums']
['male','59','USA','USA','organ failure','trumpet']
['male','66','UK','UK','illness','drums']
['male','84','USA','USA','illness','strings']
['male','71','USA','USA','organ failure','vocals']
['male','71','USA','USA','organ failure','guitar']
['male','87','UK','España','illness','trumpet']
['male','87','UK','España','illness','saxophone']
['male','87','UK','España','illness','flute']
['male','68','USA','USA','natural causes','saxophone']
['female','62','UK','UK','illness','flute']
['male','60','USA','Nederland','stroke','vocals']
['male','58','Deutschland','Deutschland','natural causes','leadership']
['male','58','Deutschland','Deutschland','natural causes','trumpet']
['male','79','USA','USA','natural causes','piano']
['male','67','USA','USA','illness','piano']
['male','77','USA','Stapleton','heart attack','guitar']
['male','67','USA','USA','illness','piano']
['male','74','USA','USA','heart attack','vocals']
['male','74','USA','USA','heart attack','guitar']
['female','61','USA','USA','cancer','trumpet']
['male','58','USA','USA','cancer','drums']
['male','61','USA','USA','natural causes','strings']
['male','57','UK','Schweiz','illness','piano']
['male','79','USA','USA','cancer','bass']
['male','84','USA','USA','heart attack','drums']
['male','79','العربيّة','France','illness','vocals']
['male','79','العربيّة','France','illness','piano']
['male','79','العربيّة','France','illness','guitar']
['male','62','UK','UK','cancer','bass']
['male','74','USA','Deutschland','cancer','piano']
['male','81','USA','USA','organ failure','vocals']
['male','72','USA','USA','heart attack','vocals']
['male','72','USA','USA','heart attack','guitar']
['male','60','USA','USA','organ failure','bass']
['male','88','USA','USA','natural causes','vocals']
['male','68','UK','UK','cancer','trumpet']
['male','70','USA','USA','natural causes','saxophone']
['male','67','Besatzungszone','Deutschland','cancer','drums']
['male','67','Besatzungszone','Deutschland','cancer','piano']
['male','67','Besatzungszone','Deutschland','cancer','guitar']
['male','65','UK','UK','organ failure','guitar']
['male','68','UK','España','illness','vocals']
['male','68','UK','España','illness','bass']
['male','68','UK','España','illness','guitar']
['male','70','USA','USA','illness','vocals']
['female','86','France','France','natural causes','piano']
['male','68','UK','France','natural causes','vocals']
['male','68','UK','France','natural causes','guitar']
['male','72','UK','Deutschland','illness','vocals']
['male','72','UK','Deutschland','illness','guitar']
['male','47','USA','USA','illness','trumpet']
['male','80','USA','USA','natural causes','trumpet']
['male','73','USA','USA','cancer','guitar']
['male','70','USA','USA','natural causes','bass']
['male','42','India','USA','illness','guitar']
['male','80','Jamaica','Jamaica','stroke','bass']
['male','54','USA','USA','cancer','guitar']
['male','90','USA','USA','natural causes','saxophone']
['male','90','USA','USA','natural causes','flute']
['male','79','USA','USA','illness','bass']
['male','71','USA','USA','cancer','drums']
['male','58','Australia','Australia','heart attack','vocals']
['male','58','Australia','Australia','heart attack','piano']
['male','58','Australia','Australia','heart attack','saxophone']
['male','58','Australia','Australia','heart attack','flute']
['male','72','Ireland/Éire','Ireland/Éire','accident','guitar']
['male','88','USA','USA','natural causes','guitar']
['male','69','USA','USA','illness','guitar']
['male','65','USA','USA','cancer','drums']
['male','66','UK','USA','heart attack','vocals']
['male','66','UK','USA','heart attack','drums']
['male','66','UK','USA','heart attack','guitar']
['male','60','USA','USA','natural causes','guitar']
['male','90','Schweiz','Schweiz','natural causes','drums']
['male','90','Schweiz','Schweiz','natural causes','trumpet']
['male','79','USA','Deutschland','stroke','vocals']
['male','79','USA','Deutschland','stroke','guitar']
['male','71','USA','USA','organ failure','saxophone']
['male','59','UK','Australia','cancer','vocals']
['male','59','UK','Australia','cancer','guitar']
['male','40','USA','USA','natural causes','strings']
['female','61','Deutschland','USA','cancer','vocals']
['male','80','USA','USA','organ failure','guitar']
['male','84','UK','UK','natural causes','trumpet']
['male','65','Österreich','Österreich','suicide','vocals']
['male','66','Deutschland','Deutschland','heart attack','piano']
['male','61','UK','UK','cancer','vocals']
['male','61','UK','UK','cancer','guitar']
['male','79','Deutschland','Deutschland','natural causes','vocals']
['male','79','Deutschland','Deutschland','natural causes','guitar']
['male','59','USA','USA','natural causes','vocals']
['male','59','USA','USA','natural causes','piano']
['male','59','USA','USA','natural causes','bass']
['male','67','USA','USA','accident','piano']
['male','68','Jamaica','Jamaica','cancer','trumpet']
['female','54','USA','USA','accident','vocals']
['male','65','UK','UK','heart attack','vocals']
['male','65','UK','UK','heart attack','strings']
['male','65','UK','UK','heart attack','guitar']
['male','81','Deutschland','Deutschland','natural causes','vocals']
['male','81','Deutschland','Deutschland','natural causes','guitar']
['male','74','Reich','Deutschland','cancer','strings']
['male','74','Reich','Deutschland','cancer','guitar']
['female','27','UK','UK','overdose','vocals']
['male','67','USA','USA','stroke','vocals']
['male','69','USA','USA','stroke','saxophone']
['male','68','USA','USA','cancer','trumpet']
['male','59','USA','USA','organ failure','vocals']
['male','59','USA','USA','organ failure','guitar']
['male','62','USA','USA','heart attack','vocals']
['male','62','USA','USA','heart attack','piano']
['male','62','USA','USA','heart attack','guitar']
['male','80','Jamaica','Jamaica','cancer','drums']
['male','60','USA','USA','natural causes','trumpet']
['male','68','USA','USA','illness','guitar']
['male','44','USA','USA','cancer','vocals']
['male','44','USA','USA','cancer','guitar']
['male','69','Africa','Africa','illness','drums']
['male','62','USA','USA','cancer','vocals']
['male','62','USA','USA','cancer','guitar']
['male','82','USA','USA','cancer','guitar']
['male','62','Österreich','Österreich','organ failure','vocals']
['male','62','Österreich','Österreich','organ failure','bass']
['male','71','UK','UK','cancer','bass']
['male','60','USA','USA','organ failure','vocals']
['male','63','USA','Canada','stroke','guitar']
['female','47','USA','USA','accident','vocals']
['male','58','UK','España','heart attack','vocals']
['male','58','UK','España','heart attack','guitar']
['male','34','ישראל','USA','natural causes','strings']
['male','83','UK','UK','natural causes','saxophone']
['male','83','UK','UK','natural causes','flute']
['male','56','UK','Australia','organ failure','vocals']
['male','56','UK','Australia','organ failure','drums']
['male','52','Κύπρος','UK','cancer','piano']
['male','52','Κύπρος','UK','cancer','bass']
